stat_no;year;month;day;hour;elem_val
26409;1996;3;10;7;0,0
26409;1996;3;11;7;0,0
26409;1996;3;12;7;0,0
26409;1996;3;13;7;0,0
26409;1996;3;14;7;0,8
26409;1996;3;15;7;0,0
26409;1996;3;16;7;0,0
26409;1996;3;17;7;0,0
26409;1996;3;18;7;0,0
26409;1996;3;19;7;0,0
26409;1996;3;20;7;0,0
26409;1996;3;21;7;0,0
26409;1996;3;22;7;0,0
26409;1996;3;23;7;0,0
26409;1996;3;24;7;3,9
26409;1996;3;25;7;0,0
26409;1996;3;26;7;0,0
26409;1996;3;27;7;0,0
26409;1996;3;28;7;3,2
26409;1996;3;29;7;6,2
26409;1996;3;30;7;0,0
26409;1996;3;31;7;0,0
26409;1996;4;1;7;1,5
26409;1996;4;2;7;0,0
26409;1996;4;3;7;0,0
26409;1996;4;4;7;0,0
26409;1996;4;5;7;0,0
26409;1996;4;6;7;0,0
26409;1996;4;7;7;0,0
26409;1996;4;8;7;0,0
26409;1996;4;9;7;0,0
26409;1996;4;10;7;0,0
26409;1996;4;11;7;3,2
26409;1996;4;12;7;0,2
26409;1996;4;13;7;0,0
26409;1996;4;14;7;0,0
26409;1996;4;15;7;0,0
26409;1996;4;16;7;0,0
26409;1996;4;17;7;0,0
26409;1996;4;18;7;0,0
26409;1996;4;19;7;0,0
26409;1996;4;20;7;0,0
26409;1996;4;21;7;0,0
26409;1996;4;22;7;0,0
26409;1996;4;23;7;0,0
26409;1996;4;24;7;0,0
26409;1996;4;25;7;0,0
26409;1996;4;26;7;0,8
26409;1996;4;27;7;0,0
26409;1996;4;28;7;0,5
26409;1996;4;29;7;0,0
26409;1996;4;30;7;0,0
26409;1996;5;1;7;0,0
26409;1996;5;2;7;0,0
26409;1996;5;3;7;3,7
26409;1996;5;4;7;0,0
26409;1996;5;5;7;0,6
26409;1996;5;6;7;0,3
26409;1996;5;7;7;0,0
26409;1996;5;8;7;0,0
26409;1996;5;9;7;0,0
26409;1996;5;10;7;0,2
26409;1996;5;11;7;0,0
26409;1996;5;12;7;0,3
26409;1996;5;13;7;0,0
26409;1996;5;14;7;0,0
26409;1996;5;15;7;0,0
26409;1996;5;16;7;0,2
