2110022-AUG-1988 00:00:0009-SEP-1992 23:59:59    20    27    30    25    17    17    30    26    23                                                                              A
2110010-SEP-1992 00:00:0018-MAY-1994 23:59:59    16    23    27    17    15    29    27    23    23                                                                              A
2110019-MAY-1994 00:00:0027-AUG-1996 23:59:59    15    30    28    21    17    25    28    20    23                                                                              A
2110028-AUG-1996 00:00:0005-AUG-1998 23:59:59    15    15    26    16    31    33    31    28    27                                                                              A
2110006-AUG-1998 00:00:0009-NOV-2000 23:59:59    17    15    25    10    15    32    30    25    22                                                                              A
2110010-NOV-2000 00:00:0017-NOV-2003 23:59:59    18    17    14    22    14    30    29    25    22                                                                              A
2110018-NOV-2003 00:00:0031-OCT-2005 23:59:59    18    17    15    17    15    30    30    26    22                                                                              A
2110001-NOV-2005 00:00:0012-MAR-2008 23:59:59    19    17    18    18    15    32    32    28    24                                                                              A
2110013-MAR-2008 00:00:0004-AUG-2008 23:59:59    19    17    18    18    15    34    34    28    24                                                                              A
2110005-AUG-2008 00:00:0017-AUG-2009 23:59:59    10    26    25    22    17    44    40    22    29                                                                              A
2110018-AUG-2009 00:00:0001-APR-2011 23:59:59    10    20    21    18    17    30    35    28    24Manuel Hellmann ophørt 20110401.                                              A
2110002-APR-2011 00:00:0012-DEC-2011 23:59:59     8    22     9    23    24    40    38    32    28Pluvio-måler erstatter Hellmann pr. 20110402.                                 A
2110013-DEC-2011 00:00:0008-APR-2014 23:59:59    12    20     7    19    12    34    30    23    22Pluvio-måler.                                                                 A
2110009-APR-2014 00:00:0010-APR-2016 23:59:59    13    20    12    25    12    40    40    30    27Pluvio-måler.                                                                 A
2110011-APR-2016 00:00:0026-JUN-2019 23:59:59    10    20    20    19    16    31    33    28    24Pluvio-måler.                                                                 A
2110027-JUN-2019 00:00:00                        30    50    35    27    12    21    26    38    35Pluvio-måler.                                                                 D
2143001-JAN-1971 00:00:0031-MAR-1971 23:59:59    10     7     5    13    15    17    20    20    15WNW 42, ENE 17. Stationen var her 19520901-19710331.                          B
2143001-APR-1971 00:00:0016-SEP-1980 23:59:59    19     8    13     6    11    11     5    18    10SSW 26, WSW 22.                                                               B
2143017-SEP-1980 00:00:0020-OCT-1985 23:59:59    25    42    11    22    13    18    30     7    20                                                                              A
2143021-OCT-1985 00:00:0005-SEP-1988 23:59:59    45    25     7    11     8    15    28    10    16                                                                              B
2143006-SEP-1988 00:00:0020-SEP-1993 23:59:59    45    22    19    25    20    22    22    25    23Vinklerne er for høje!                                                        A
2143021-SEP-1993 00:00:0005-APR-1995 23:59:59    48    25    22    11    11    16    30     9    19                                                                              B
2143006-APR-1995 00:00:0012-MAY-1997 23:59:59    28    41    29    22    14    10    31     8    20                                                                              A
2143013-MAY-1997 00:00:0009-AUG-1999 23:59:59    30    50    36    28    19    19    30    26    26SW=19 og NW=26 er for høje jvf. foto!                                         A
2143010-AUG-1999 00:00:0011-AUG-1999 23:59:59    45    35    14    29    15    19    26    11    22Rm flyttes 5m mod S 19990811.                                                 A
2143012-AUG-1999 00:00:0030-JUN-2002 23:59:59    38    15    29    18    29    26    30    12    26Rm flyttet 5m mod S 19990811.                                                 A
2143001-JUL-2002 00:00:0014-MAR-2005 23:59:59    36    29    30    33    28    28    27    23    29                                                                              A
2143015-MAR-2005 00:00:0016-MAR-2005 23:59:59    36    30    30    40    34    15    20    19    27Rm flyttes 10m W 20050316.                                                    A
2143017-MAR-2005 00:00:0028-AUG-2007 23:59:59    26    28    20    27     8    12    26    25    19Rm flyttet 10m W 20050316.                                                    B
2143029-AUG-2007 00:00:0005-AUG-2009 23:59:59    28    30    27    30     8    12    30    28    21                                                                              A
2143006-AUG-2009 00:00:0007-AUG-2009 23:59:59    31    30     8    35    20    11    26    31    22Rm flyttes 3 m mod W 20090807.                                                A
2143008-AUG-2009 00:00:0001-APR-2011 23:59:59    26    20     8    28     7    16    30    32    19Rm flyttet 3 m mod W 20090807. Ophørt på denne adr. 20110401.                 B
2514026-AUG-1966 00:00:0014-AUG-1983 23:59:59     2    10    18     1     3     4     4    18     6                                                                              B
2514015-AUG-1983 00:00:0016-AUG-1983 23:59:59    45    15    10     8     8    20    14    50    17Rm flyttes 7 m SE 19830816.                                                   B
2514017-AUG-1983 00:00:0016-MAY-1988 23:59:59    13    12    16    14    10    30    10    30    17Rm flyttet 7 m SW 19830816.                                                   B
2514017-MAY-1988 00:00:0004-NOV-1992 23:59:59    22    12    12    17    10    22    15    27    17                                                                              B
2514005-NOV-1992 00:00:0013-JAN-1994 23:59:59    14    14    10    10    10    25    15    25    16Rm flyttes 1150 m NNE 19940113.                                               B
2514014-JAN-1994 00:00:0015-FEB-1996 23:59:59    15    24    25    17    14    40    10    10    21Rm flyttet 1150 m NE 19940113. Rm flyttes 275 m WSW 19960215.                 A
2514016-FEB-1996 00:00:0025-MAR-1998 23:59:59    24    27    15    18    13    15    14    14    16Rm flyttet til ny adr. 275m WSW 19960215.                                     B
2514026-MAR-1998 00:00:0023-JAN-2001 23:59:59    15    18    18    30    20    14    14    30    19                                                                              B
2514024-JAN-2001 00:00:0028-OCT-2002 23:59:59    20    22    20    30    10    18    12    18    18Thy er fjernet i NW.                                                          B
2514029-OCT-2002 00:00:0011-JUL-2005 23:59:59    20    25    20    18    10    17    20    20    17                                                                              B
2514012-JUL-2005 00:00:0020-JUL-2008 23:59:59    25    30    20    10    10    17    20    20    17                                                                              B
2514021-JUL-2008 00:00:0001-JAN-2009 23:59:59    25    30    20    15    13    19    21    23    19Rm ophørt på denne adr. 20090101.                                             B
2514011-JUN-2009 00:00:0017-MAY-2010 23:59:59    25    15    22    26    37    40    35    30    32Pluvio-måler opsat istedet for Hellmann, som ophørte 20090101.                D
2514018-MAY-2010 00:00:0026-SEP-2011 23:59:59    18    15    11    23    28    28    30    18    24Pluvio-måler.                                                                 A
2514027-SEP-2011 00:00:0005-OCT-2015 23:59:59    16    12    13    20    22    23    27    16    21Pluvio-måler.                                                                 A
2514006-OCT-2015 00:00:0026-APR-2018 23:59:59    17    11    25    22    38    35    27    18    28Pluvio-måler.                                                                 A
2514024-APR-2018 00:00:00                        30    11    24    29    40    45    32    37    34Pluvio-måler.                                                                 D
2640027-AUG-1966 00:00:0031-DEC-1970 23:59:59     8     3     1     3     7     8    12     3     7                                                                              B
2640001-JAN-1971 00:00:0030-SEP-1971 23:59:59    10     8     1     6    12     7    13     4     8Rm flyttes til nyt sted på området 19711001. Vinklerne målt 19711020.         B
2640001-OCT-1971 00:00:0001-MAY-1973 23:59:59    14     5     0     3     6     3     6    10     5Rm flyttet til nyt sted på området 19711001.                                  C
2640002-MAY-1973 00:00:0010-JUN-1986 23:59:59    12     6     1     5    12     7     4     8     7Rm flyttes 190m WSW 19860610.                                                 B
2640011-JUN-1986 00:00:0002-OCT-1989 23:59:59    15    25     8    10    20    14    17    15    15Rm flyttet 190m WSW 19860610.                                                 B
2640003-OCT-1989 00:00:0030-JUN-1992 23:59:59    20    15     5    10    15    13    16    15    13Rm flyttes 97m ENE 19920630.                                                  B
2640001-JUL-1992 00:00:0013-OCT-1997 23:59:59     5     4     4    17    22    10    30    22    16Rm flyttet 97m ENE 19920630. Vinklerne målt 19930527.                         B
2640014-OCT-1997 00:00:0023-OCT-2000 23:59:59     6     5     9     5    10    12    30    22    13                                                                              B
2640024-OCT-2000 00:00:0010-DEC-2001 23:59:59     7     5     1     4    10     8    12    24     9Løvtræer fældet mod W. Rm flyttes 28m mod E 20011210.                         B
2640011-DEC-2001 00:00:0025-JUL-2004 23:59:59     6     5     0     2     5     4    10    13     5Rm flyttet 28m mod E 20011210.                                                C
2640026-JUL-2004 00:00:0011-SEP-2006 23:59:59     7     5     6     7     6     5    12    14     7                                                                              B
2640012-SEP-2006 00:00:0006-OCT-2008 23:59:59     7     5     7     8     7     6    14    14     8                                                                              B
2640007-OCT-2008 00:00:0019-AUG-2009 23:59:59     9     6    15     6     7     6    15    15     9                                                                              B
2640020-AUG-2009 00:00:0001-APR-2011 23:59:59    10     6     5     6     8     8    13    13     9Ophørt på denne adr. 20110401.                                                B
2640901-JUN-1995 00:00:0008-APR-1997 23:59:59    11    12    10     5    18    10     4    10    10Målt ved oprettelsen 19950530.                                                B
2640909-APR-1997 00:00:0007-SEP-1999 23:59:59    18    25    10     5    15    20    15    14    15Rm flyttes 2m mod SE 19990907.                                                B
